Filename,Solution,Difficulty
001,A drop in the bucket,Easy
002,first edition,Easy
003,kick the bucket,Easy
004,feeling under the weather,Easy
005,don't cut corners,Hard
006,pillow talk,Easy
007,don't cry over spilled milk,Medium
008,jump the gun,Easy
009,spill the beans,Medium
010,piece of cake,Medium
011,back to square one,Medium
012,hold your horses,Medium
013,catch my drift,Easy
014,cat's out of the bag,Easy
015,face the music,Medium
016,barking up the wrong tree,Hard
017,Break the ice,Easy
018,Man on board,Easy
019,shying away,Easy
020,Top Secret,Easy
021,green eggs and ham,Easy
022,Over and Over,Easy
023,Easy peasy,Easy
024,Ants In My Pants,Easy
025,Broken Promises,Easy
026,two wrongs don't make a right,Easy
027,Pile on the pounds,Medium
028,Enemy within,Hard
029,Where all men are equal,Hard
030,red in the face,Easy
031,back rub,Medium
032,all thumbs,Easy
033,two left feet,Easy
034,black sheep of family,Easy
035,big fish in a little pond,Easy
036,Looking out for number one,Hard
037,Long time no see,Medium
038,All in a days work,Easy
039,Give up the ghost,Hard
040,Right under the nose,Hard
041,Count the ways,Easy
042,No one to blame,Easy
043,Big head,Medium
044,Inside job,Easy
045,Head over heels,Easy
046,Pain in the neck,Easy
047,High five,Easy
048,Mind over matter,Medium
049,Lone wolf,Easy
050,Shot in the dark,Easy
051,Side burns,Easy
052,Carbon footprint,Easy
053,Back to school,Easy
054,A wolf in sheep's clothing,Easy
055,Time is money,Easy
056,Hit the big time,Easy
057,"Year in, year out",Hard
058,Down for the count,Hard
059,Get bent out of shape,Medium
060,Go down in a blaze of glory,Easy
061,"No pain, No gain",Medium
062,The last straw,Easy
063,Take a rain check,Easy
064,Mile in a minute,Medium
065,Golden rules,Easy
066,A picture is worth a thousand words,Easy
067,Once in a blue moon,Easy
068,Keep the long story short,Easy
069,A slice of the cake,Easy
070,Hands down,Easy
071,a fish out of water,Easy
072,a little bird told me,Easy
073,a small step for man,Easy
074,babies in the eyes,Easy
075,breed in the bone,Easy
076,cash in one's chips,Medium
077,chill to the bone,Medium
078,come down to us,Easy
079,coming into the world,Easy
080,dig in one's heels,Easy
081,dog in the manger,Easy
082,elephant in the room,Easy
083,fall on one's sword,Easy
084,for all the world,Medium
085,handwriting on the wall,Easy
086,hard on the eyes,Easy
087,light in the loafers,Easy
088,like a duck to water,Easy
089,long in the tooth,Easy
090,melt in the mouth,Easy
091,middle of the night,Easy
092,moment in the sun,Medium
093,painful on the eyes,Easy
094,pennies on the dollar,Easy
095,piffy on a rock bun,Easy
096,put a hat on a hat,Easy
097,run for the roses,Easy
098,salt in the wound,Medium
099,set the thames on fire,Easy
100,small piece of the puzzle,Easy
101,Against all Odds,Medium
102,Forgive and Forget,Medium
103,Mixed Reality,Easy
104,Chill Out,Medium
105,Dream Big,Easy
106,Scrambled Eggs on Toast,Easy
107,Top Hat,Medium
108,Last Minute,Easy
109,Chip on your Shoulder,Medium
110,Double Oven,Hard
111,Beat Around the Bush,Medium
112,Ring of Fire,Easy
113,Growing Pains,Easy
114,Excuse my French,Easy
115,Gold Star,Easy
116,Break the Bank,Easy
117,"One step forward, Two steps back",Easy
118,Coffee Break,Hard
119,Mercury Rising,Easy
120,Crying Shame,Easy
121,The Beginning of Time,Easy
122,On the Wrong Side of History,Medium
123,Blast from the Past,Medium
124,A Fish out of Water,Medium
125,Unfinished Business,Medium
126,Gold Rush,Easy
127,Time is Money,Easy
128,Cut Corners,Medium
129,History in the Making,Easy
130,A Period in History,Easy
131,Painless Operation,Hard
132,More often than Not,Medium
133,The Price is Right,Medium
134,History Repeats Itself,Easy
135,Go Down in History,Easy
136,The End of an Era,Easy
137,Rewrite History,Easy
138,Lost in space,Hard
139,Love at first sight,Easy
140,True love never ends,Easy
141,Love is in the air,Easy
142,Make or break,Medium
143,Sweet nothings,Easy
144,Run out of steam,Medium
145,written in the stars,Medium
146,Throw in the towel,Easy
147,Love birds,Easy
148,Heart throb,Easy
149,Pucker up,Easy
150,Practice makes perfect,Medium
151,You complete me,Medium
152,Lover’s gaze,Medium
153,Love struck,Easy
154,Private Eye,Medium
155,Hand in hand,Easy
156,Diminishing returns,Easy
157,Once in a blue moon,Medium
158,Shadow Realm,Easy
159,Unholy Matrimony,Medium
160,Wheel of Fortune,Hard
161,"Easy come, easy go",Medium
162,Less is more,Easy
163,Nick of time,Medium
164,Unfinished business,Easy
165,Bad intentions,Medium
166,The last straw,Easy
167,Raining cats and dogs,Easy
168,Handily defeated,Hard
169,Everything but the kitchen sink,Hard
170,Read between the lines,Medium
171,Think of the big picture,Easy
172,Cut to the chase,Medium
